ativo_objeto,ticker_opcao,tipo,strike,vencimento,dte,categoria_vencimento,ultimo_preco,vol_media_5d,vol_media_10d,vol_media_21d,negocios_media_5d,variacao_volume,variacao_preco,moneyness,moneyness_cat,liquidez_score,spot,retorno_5d,retorno_21d,retorno_63d,vol_hist_21d,dist_max,dist_min,vol_relativa,tendencia,cenario,estruturas_sugeridas,score,status,motivo,risco_principal,data_analise,ultima_data_cotahist
ENEV3,ENEVR245,PUT,24.5,2026-06-19,23,CURTO,0.62,124356.2,62251.8,44580.57,16.4,1.789471,1.066667,-0.018776,ATM,100.0,24.96,-0.00399,-0.076582,0.139726,0.297968,-0.095324,0.896657,0.413965,LATERAL,PROTECAO_CARTEIRA,"Protective Put, Collar",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Decay temporal do prêmio caso o ativo não caia.,2026-05-27,2026-05-22
ENEV3,ENEVF250,CALL,25.0,2026-06-19,23,CURTO,1.56,204316.6,2253686.2,1610469.86,28.6,-0.873132,-0.152174,-0.0016,ATM,100.0,24.96,-0.00399,-0.076582,0.139726,0.297968,-0.095324,0.896657,0.413965,LATERAL,PROTECAO_CARTEIRA,"Protective Put, Collar",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Decay temporal do prêmio caso o ativo não caia.,2026-05-27,2026-05-22
B3SA3,B3SAR167,PUT,16.72,2026-06-19,23,CURTO,0.65,140427.6,165015.5,80566.24,97.8,0.743008,-0.044118,0.003589,ATM,100.0,16.66,-0.002395,-0.126377,-0.061408,0.377431,-0.160282,0.361111,0.207843,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
B3SA3,B3SAR165,PUT,16.47,2026-06-19,23,CURTO,0.54,438187.2,249303.9,121212.67,91.2,2.615028,-0.052632,-0.011536,ATM,100.0,16.66,-0.002395,-0.126377,-0.061408,0.377431,-0.160282,0.361111,0.207843,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
B3SA3,B3SAF170,CALL,16.97,2026-06-19,23,CURTO,0.59,214234.4,126682.0,88955.71,189.6,1.408326,-0.119403,-0.018268,ATM,100.0,16.66,-0.002395,-0.126377,-0.061408,0.377431,-0.160282,0.361111,0.207843,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
B3SA3,B3SAF167,CALL,16.72,2026-06-19,23,CURTO,0.75,383818.2,210309.1,117489.67,157.2,2.266825,-0.074074,-0.003589,ATM,100.0,16.66,-0.002395,-0.126377,-0.061408,0.377431,-0.160282,0.361111,0.207843,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
B3SA3,B3SAF165,CALL,16.47,2026-06-19,23,CURTO,0.88,228616.6,145283.8,89235.05,74.0,1.56196,-0.053763,0.011536,ATM,100.0,16.66,-0.002395,-0.126377,-0.061408,0.377431,-0.160282,0.361111,0.207843,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
ENEV3,ENEVR250,PUT,25.0,2026-06-19,23,CURTO,0.93,864223.4,456154.0,307326.56,50.8,1.812069,0.409091,0.0016,ATM,100.0,24.96,-0.00399,-0.076582,0.139726,0.297968,-0.095324,0.896657,0.413965,LATERAL,PROTECAO_CARTEIRA,"Protective Put, Collar",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Decay temporal do prêmio caso o ativo não caia.,2026-05-27,2026-05-22
B3SA3,B3SAR170,PUT,16.97,2026-06-19,23,CURTO,0.79,409415.6,272823.5,179050.19,45.2,1.286597,0.053333,0.018268,ATM,100.0,16.66,-0.002395,-0.126377,-0.061408,0.377431,-0.160282,0.361111,0.207843,LATERAL,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Tese de recuperação não se confirma — perda do prêmio pago.,2026-05-27,2026-05-22
PETR4,PETRQ455W5,PUT,44.96,2026-05-29,2,CURTO,1.07,99997.2,68655.1,40492.06,42.0,1.469551,0.244186,0.010676,ATM,100.0,44.48,-0.021773,-0.066918,0.176408,0.26737,-0.106468,0.524854,0.019934,BAIXA_MODERADA,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",90.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.,Recuperação inesperada do ativo antes do vencimento.,2026-05-27,2026-05-22
