ativo_objeto,ticker_opcao,tipo,strike,vencimento,dte,categoria_vencimento,ultimo_preco,liquidez_score,cenario,estruturas_sugeridas,score,status,motivo
ENEV3,ENEVR245,PUT,24.5,2026-06-19,23,CURTO,0.62,100.0,PROTECAO_CARTEIRA,"Protective Put, Collar",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
B3SA3,B3SAF167,CALL,16.72,2026-06-19,23,CURTO,0.75,100.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
B3SA3,B3SAR170,PUT,16.97,2026-06-19,23,CURTO,0.79,100.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
ENEV3,ENEVR250,PUT,25.0,2026-06-19,23,CURTO,0.93,100.0,PROTECAO_CARTEIRA,"Protective Put, Collar",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
B3SA3,B3SAF165,CALL,16.47,2026-06-19,23,CURTO,0.88,100.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
ENEV3,ENEVF250,CALL,25.0,2026-06-19,23,CURTO,1.56,100.0,PROTECAO_CARTEIRA,"Protective Put, Collar",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
B3SA3,B3SAF170,CALL,16.97,2026-06-19,23,CURTO,0.59,100.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
B3SA3,B3SAR165,PUT,16.47,2026-06-19,23,CURTO,0.54,100.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
B3SA3,B3SAR167,PUT,16.72,2026-06-19,23,CURTO,0.65,100.0,RECUPERACAO_APOS_QUEDA,"Call Longa, Trava de Alta, Call Debit Spread",95.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
PETR4,PETRR452,PUT,44.69,2026-06-19,23,CURTO,1.64,100.0,CONTINUACAO_BAIXA,"Trava de Baixa, Put Debit Spread",90.0,CANDIDATA_PROXIMO_PREGAO,Liquidez score 100.0 ≥ 50 com vencimento CURTO — candidata para próximo pregão.
