ativo,spot,limite,total_cand,com_liquidez,oportunidades,na_shortlist,status
PETR,54.96,20,120,120,46,120,OK — 120 c/ liq / 20/20 na shortlist
VALE,98.0,20,85,85,30,85,OK — 85 c/ liq / 20/20 na shortlist
ITUB,46.86,12,55,55,10,55,OK — 55 c/ liq / 10/12 na shortlist
BBDC,18.74,12,36,36,1,36,OK — 36 c/ liq / 12/12 na shortlist
BBAS,59.6,12,0,0,0,0,SEM OPÇÕES NO COTAHIST
WEGE,58.55,8,0,0,0,0,SEM OPÇÕES NO COTAHIST
B3SA,19.84,8,25,25,0,25,OK — 25 c/ liq / 8/8 na shortlist
ABEV,16.95,8,2,2,0,2,OK — 2 c/ liq / 2/8 na shortlist
SUZB,66.65,8,2,2,0,2,OK — 2 c/ liq / 0/8 na shortlist
RENT,70.33,8,0,0,0,0,SEM OPÇÕES NO COTAHIST
BPAC,64.34,8,4,4,0,4,OK — 4 c/ liq / 3/8 na shortlist
GGBR,26.98,6,3,3,1,3,OK — 3 c/ liq / 1/6 na shortlist
RADL,30.07,6,0,0,0,0,SEM OPÇÕES NO COTAHIST
PRIO,72.1,6,31,31,2,31,OK — 31 c/ liq / 2/6 na shortlist
RDOR,47.44,6,1,1,0,1,OK — 1 c/ liq / 0/6 na shortlist
HAPV,41.71,6,0,0,0,0,SEM OPÇÕES NO COTAHIST
ENEV,27.59,6,7,7,2,7,OK — 7 c/ liq / 2/6 na shortlist
CPLE,50.12,6,0,0,0,0,SEM OPÇÕES NO COTAHIST
CMIG,20.55,6,0,0,0,0,SEM OPÇÕES NO COTAHIST
EGIE,48.82,6,0,0,0,0,SEM OPÇÕES NO COTAHIST
TAEE,45.86,6,0,0,0,0,SEM OPÇÕES NO COTAHIST
CSNA,19.66,6,0,0,0,0,SEM OPÇÕES NO COTAHIST
USIM,10.86,6,12,12,0,12,OK — 12 c/ liq / 0/6 na shortlist
ALSO,25.47,6,0,0,0,0,SEM OPÇÕES NO COTAHIST
META,82.5,4,0,0,0,0,SEM OPÇÕES NO COTAHIST
SBFG,18.51,4,0,0,0,0,SEM OPÇÕES NO COTAHIST
