ticker,ativo_objeto,tipo,strike,vencimento,prioridade
BBDCF17,BBDC,CALL,17.26,2026-06-19,0.2601
ENEVR250,ENEV,PUT,25.0,2026-06-19,0.2439
ENEVR230,ENEV,PUT,23.0,2026-06-19,0.1178
GGBRR264,GGBR,PUT,26.18,2026-06-19,0.3345
ITUBG2,ITUB,CALL,40.75,2026-07-17,0.5108
ITUBS2,ITUB,PUT,40.75,2026-07-17,0.454
ITUBG3,ITUB,CALL,41.25,2026-07-17,0.2785
ITUBR425,ITUB,PUT,42.19,2026-06-19,0.297
ITUBF424,ITUB,CALL,38.63,2026-06-19,0.139
ITUBT476,ITUB,PUT,47.31,2026-08-21,0.3824
ITUBT446,ITUB,PUT,44.31,2026-08-21,0.2909
ITUBF404,ITUB,CALL,40.09,2026-06-19,0.1447
ITUBG429,ITUB,CALL,39.28,2026-07-17,0.1135
ITUBQ463W5,ITUB,PUT,46.36,2026-05-29,0.3389
PETRR502,PETR,PUT,49.69,2026-06-19,0.7762
PETRF462,PETR,CALL,45.69,2026-06-19,0.589
PETRR462,PETR,PUT,45.69,2026-06-19,0.5236
PETRR454,PETR,PUT,44.94,2026-06-19,0.3736
PETRR459,PETR,PUT,45.44,2026-06-19,0.3784
PETRR477,PETR,PUT,47.19,2026-06-19,0.3836
PETRF477,PETR,CALL,47.19,2026-06-19,0.3322
PETRR449,PETR,PUT,44.44,2026-06-19,0.2526
PETRR482,PETR,PUT,47.69,2026-06-19,0.339
PETRG45,PETR,CALL,44.44,2026-07-17,0.2248
PETRF457,PETR,CALL,45.19,2026-06-19,0.2447
PETRL462,PETR,CALL,45.68,2026-12-18,0.2525
PETRF469,PETR,CALL,46.44,2026-06-19,0.2676
PETRF472,PETR,CALL,46.69,2026-06-19,0.2636
PETRR457,PETR,PUT,45.19,2026-06-19,0.2131
PETRR472,PETR,PUT,46.69,2026-06-19,0.2508
PETRF467,PETR,CALL,46.19,2026-06-19,0.2327
PETRR464,PETR,PUT,45.94,2026-06-19,0.2237
PETRR447,PETR,PUT,44.19,2026-06-19,0.1754
PETRR452,PETR,PUT,44.69,2026-06-19,0.1836
PRIOF690,PRIO,CALL,69.0,2026-06-19,0.3846
PRIOF750,PRIO,CALL,75.0,2026-06-19,0.2995
VALEF856,VALE,CALL,80.68,2026-06-19,0.2344
VALEF866,VALE,CALL,81.68,2026-06-19,0.2183
VALES921,VALE,PUT,92.15,2026-07-17,0.3719
VALEF861,VALE,CALL,81.18,2026-06-19,0.1857
VALEF897,VALE,CALL,82.18,2026-06-19,0.1973
VALEF881,VALE,CALL,83.18,2026-06-19,0.2108
VALEF896,VALE,CALL,84.68,2026-06-19,0.2294
VALER881,VALE,PUT,83.18,2026-06-19,0.1998
VALER891,VALE,PUT,84.18,2026-06-19,0.2056
VALER897,VALE,PUT,82.18,2026-06-19,0.1699
VALEF876,VALE,CALL,82.68,2026-06-19,0.1742
VALER876,VALE,PUT,82.68,2026-06-19,0.173
VALER861,VALE,PUT,81.18,2026-06-19,0.1474
VALER856,VALE,PUT,80.68,2026-06-19,0.1386
VALEF886,VALE,CALL,83.68,2026-06-19,0.1837
VALER896,VALE,PUT,84.68,2026-06-19,0.1864
VALEF911,VALE,CALL,86.18,2026-06-19,0.2087
VALER886,VALE,PUT,83.68,2026-06-19,0.1688
VALEF891,VALE,CALL,84.18,2026-06-19,0.1748
VALER851,VALE,PUT,80.18,2026-06-19,0.113
ABEVF161,ABEV,CALL,15.42,2026-06-19,0.1649
ABEVG159,ABEV,CALL,15.92,2026-07-17,0.2088
B3SAQ213W5,B3SA,PUT,21.31,2026-05-29,0.2186
B3SAR165,B3SA,PUT,16.47,2026-06-19,0.0732
B3SAR170,B3SA,PUT,16.97,2026-06-19,0.1086
B3SAF167,B3SA,CALL,16.72,2026-06-19,0.0875
B3SAF172,B3SA,CALL,17.22,2026-06-19,0.1244
B3SAQ203W5,B3SA,PUT,20.31,2026-05-29,0.2859
B3SAF162,B3SA,CALL,16.22,2026-06-19,0.0475
B3SAR180,B3SA,PUT,17.97,2026-06-19,0.1789
BBDCL176,BBDC,CALL,17.39,2026-12-18,0.2226
BBDCL192,BBDC,CALL,18.89,2026-12-18,0.3133
BBDCR4,BBDC,PUT,17.76,2026-06-19,0.2453
BBDCL181,BBDC,CALL,17.89,2026-12-18,0.2484
BBDCF4,BBDC,CALL,17.76,2026-06-19,0.237
BBDCR17,BBDC,PUT,17.26,2026-06-19,0.1948
BBDCF196,BBDC,CALL,19.01,2026-06-19,0.2906
BBDCB199,BBDC,CALL,19.91,2027-02-19,0.2177
BBDCG173,BBDC,CALL,16.66,2026-07-17,0.1448
BBDCF179,BBDC,CALL,17.01,2026-06-19,0.1728
BBDCF187,BBDC,CALL,18.01,2026-06-19,0.252
BPACF560,BPAC,CALL,56.05,2026-06-19,0.119
BPACF540,BPAC,CALL,54.05,2026-06-19,0.0667
BPACR535,BPAC,PUT,53.55,2026-06-19,0.054
