ticker,ativo_objeto,tipo,strike,vencimento,ultimo_preco,spot,moneyness,adv_volume,negocios_media,prioridade,categoria
BBDCF17,BBDC,CALL,17.26,2026-06-19,1.19,18.74,0.079,792405,315.0,0.2601,OPORTUNIDADE
ENEVR250,ENEV,PUT,25.0,2026-06-19,1.37,27.59,0.0939,864223,50.8,0.2439,OPORTUNIDADE
ENEVR230,ENEV,PUT,23.0,2026-06-19,0.65,27.59,0.1664,662235,25.5,0.1178,OPORTUNIDADE
GGBRR264,GGBR,PUT,26.18,2026-06-19,2.69,26.98,0.0297,797532,264.5,0.3345,OPORTUNIDADE
ITUBG2,ITUB,CALL,40.75,2026-07-17,1.62,46.86,0.1304,4601665,109.0,0.5108,OPORTUNIDADE
ITUBS2,ITUB,PUT,40.75,2026-07-17,2.08,46.86,0.1304,3941754,62.4,0.454,OPORTUNIDADE
ITUBG3,ITUB,CALL,41.25,2026-07-17,1.48,46.86,0.1197,1716359,22.5,0.2785,OPORTUNIDADE
ITUBR425,ITUB,PUT,42.19,2026-06-19,3.15,46.86,0.0997,1582557,75.4,0.297,OPORTUNIDADE
ITUBF424,ITUB,CALL,38.63,2026-06-19,2.22,46.86,0.1756,1069436,94.0,0.139,OPORTUNIDADE
ITUBT476,ITUB,PUT,47.31,2026-08-21,5.05,46.86,0.0096,1004513,30.0,0.3824,OPORTUNIDADE
ITUBT446,ITUB,PUT,44.31,2026-08-21,3.72,46.86,0.0544,722081,64.0,0.2909,OPORTUNIDADE
ITUBF404,ITUB,CALL,40.09,2026-06-19,1.26,46.86,0.1445,593368,205.6,0.1447,OPORTUNIDADE
ITUBG429,ITUB,CALL,39.28,2026-07-17,2.48,46.86,0.1618,532958,73.8,0.1135,OPORTUNIDADE
ITUBQ463W5,ITUB,PUT,46.36,2026-05-29,6.3,46.86,0.0107,517440,82.0,0.3389,OPORTUNIDADE
PETRR502,PETR,PUT,49.69,2026-06-19,5.17,54.96,0.0959,7082800,101.4,0.7762,OPORTUNIDADE
PETRF462,PETR,CALL,45.69,2026-06-19,2.56,54.96,0.1687,6176663,1750.2,0.589,OPORTUNIDADE
PETRR462,PETR,PUT,45.69,2026-06-19,2.22,54.96,0.1687,5416804,1463.8,0.5236,OPORTUNIDADE
PETRR454,PETR,PUT,44.94,2026-06-19,1.78,54.96,0.1823,3911180,948.6,0.3736,OPORTUNIDADE
PETRR459,PETR,PUT,45.44,2026-06-19,2.07,54.96,0.1732,3808829,541.8,0.3784,OPORTUNIDADE
PETRR477,PETR,PUT,47.19,2026-06-19,3.2,54.96,0.1414,3315028,191.0,0.3836,OPORTUNIDADE
PETRF477,PETR,CALL,47.19,2026-06-19,1.77,54.96,0.1414,2718067,402.8,0.3322,OPORTUNIDADE
PETRR449,PETR,PUT,44.44,2026-06-19,1.52,54.96,0.1914,2664732,643.8,0.2526,OPORTUNIDADE
PETRR482,PETR,PUT,47.69,2026-06-19,3.53,54.96,0.1323,2638452,91.6,0.339,OPORTUNIDADE
PETRG45,PETR,CALL,44.44,2026-07-17,4.16,54.96,0.1914,2341847,37.4,0.2248,OPORTUNIDADE
PETRF457,PETR,CALL,45.19,2026-06-19,2.86,54.96,0.1778,2335457,685.8,0.2447,OPORTUNIDADE
PETRL462,PETR,CALL,45.68,2026-12-18,6.12,54.96,0.1689,2270651,87.0,0.2525,OPORTUNIDADE
PETRF469,PETR,CALL,46.44,2026-06-19,2.16,54.96,0.155,2204044,673.8,0.2676,OPORTUNIDADE
PETRF472,PETR,CALL,46.69,2026-06-19,1.99,54.96,0.1505,2079378,500.2,0.2636,OPORTUNIDADE
PETRR457,PETR,PUT,45.19,2026-06-19,1.92,54.96,0.1778,1968501,593.6,0.2131,OPORTUNIDADE
PETRR472,PETR,PUT,46.69,2026-06-19,2.86,54.96,0.1505,1930469,181.0,0.2508,OPORTUNIDADE
PETRF467,PETR,CALL,46.19,2026-06-19,2.28,54.96,0.1596,1879530,724.2,0.2327,OPORTUNIDADE
PETRR464,PETR,PUT,45.94,2026-06-19,2.33,54.96,0.1641,1853436,426.8,0.2237,OPORTUNIDADE
PETRR447,PETR,PUT,44.19,2026-06-19,1.42,54.96,0.196,1847722,547.4,0.1754,OPORTUNIDADE
PETRR452,PETR,PUT,44.69,2026-06-19,1.64,54.96,0.1869,1784555,739.4,0.1836,OPORTUNIDADE
PRIOF690,PRIO,CALL,69.0,2026-06-19,3.79,72.1,0.043,1611296,282.6,0.3846,OPORTUNIDADE
PRIOF750,PRIO,CALL,75.0,2026-06-19,1.51,72.1,0.0402,573864,61.4,0.2995,OPORTUNIDADE
VALEF856,VALE,CALL,80.68,2026-06-19,4.26,98.0,0.1767,2196503,578.8,0.2344,OPORTUNIDADE
VALEF866,VALE,CALL,81.68,2026-06-19,3.57,98.0,0.1665,1831799,630.6,0.2183,OPORTUNIDADE
VALES921,VALE,PUT,92.15,2026-07-17,9.11,98.0,0.0597,1754761,39.0,0.3719,OPORTUNIDADE
VALEF861,VALE,CALL,81.18,2026-06-19,4.02,98.0,0.1716,1541694,513.8,0.1857,OPORTUNIDADE
VALEF897,VALE,CALL,82.18,2026-06-19,3.29,98.0,0.1614,1498583,516.0,0.1973,OPORTUNIDADE
VALEF881,VALE,CALL,83.18,2026-06-19,2.74,98.0,0.1512,1478721,788.6,0.2108,OPORTUNIDADE
VALEF896,VALE,CALL,84.68,2026-06-19,2.03,98.0,0.1359,1427955,605.4,0.2294,OPORTUNIDADE
VALER881,VALE,PUT,83.18,2026-06-19,3.4,98.0,0.1512,1350370,482.6,0.1998,OPORTUNIDADE
VALER891,VALE,PUT,84.18,2026-06-19,4.01,98.0,0.141,1239773,428.2,0.2056,OPORTUNIDADE
VALER897,VALE,PUT,82.18,2026-06-19,2.84,98.0,0.1614,1180488,348.6,0.1699,OPORTUNIDADE
VALEF876,VALE,CALL,82.68,2026-06-19,3.06,98.0,0.1563,1141494,694.4,0.1742,OPORTUNIDADE
