ticker,model,revenue,ebit,ebitda,net_income,operating_cash_flow,capex,free_cash_flow,total_assets,cash_and_equivalents,short_term_debt,long_term_debt,gross_debt,net_debt,equity_book_value,shares_outstanding,shares_source,classification,quality_flags
PRIO3,COMMODITY,15583960000,1809322000,7665240000,2251479000,8176080000,5428983000,2747097000,64179605000,3398291000,1773324000,26664962000,28438286000,25039995000,25779881000,804283501,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
RECV3,COMMODITY,3157609000,721579000,1757112000,638352000,1504449000,1639363000,-134914000,8668015000,229508000,64914000,3040102000,3105016000,1479998000,4330716000,292999070,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_NEGATIVE_EXPECTED(E&P_CAPEX)
EGIE3,UTILITY,12860075000,6268325000,7660496000,2857919000,3345511000,1752248000,1593263000,55312909000,3358552000,2941959000,25717397000,28659356000,25300804000,13914493000,1142298836,B3_MARKET_DATA,READY_TO_CALCULATE,RAB_MISSING(USE_DCF_FALLBACK)
SBSP3,UTILITY,38092050000,12599621000,14808383000,8462059000,8361115000,13740392000,-5379277000,104202767000,4663226000,5092816000,35049531000,40142347000,27771376000,42401124000,3506733260,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_NEGATIVE_EXPECTED(CONCESSION_CAPEX)
TAEE11,UTILITY,4624113000,2736283000,2799541000,1579863000,1531430000,43797000,1487633000,22506506000,741596000,1340773000,9633669000,10974442000,10232846000,7608982000,344498907,B3_MARKET_DATA,READY_TO_CALCULATE,RAB_MISSING(USE_DCF_FALLBACK)
AZZA3,RETAIL,11819492000,1138192000,1835698000,911249000,1074977000,383747000,691230000,15448601000,320633000,1031073000,2195487000,3226560000,2145223000,7977304000,202024835,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
LREN3,RETAIL,15829460000,1797160000,3088118000,1457566000,2801957000,799970000,2001987000,19626027000,978066000,21087000,358788000,379875000,-1522936000,10456281000,976325259,B3_MARKET_DATA,READY_TO_CALCULATE,NET_CASH_POSITION
MGLU3,RETAIL,38703387000,1918683000,3203470000,204603000,15719373000,330687000,15388686000,37911158000,1575837000,998359000,3946177000,4944536000,2908772000,11278030000,774905918,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_REVIEW(OCF_4.8x_EBITDA)
PCAR3,RETAIL,19113000000,-169000000,984000000,-815000000,1352000000,631000000,721000000,18426000000,1990000000,1700000000,2402000000,4102000000,2088000000,2124000000,491936785,B3_MARKET_DATA,PARTIAL_INPUTS,DISTRESSED(EBIT<0,NI<0)
VIVA3,RETAIL,3026581564,726321236,889179247,619502301,803024041,414593018,388431023,4955249574,387949232,98645232,432630475,531275707,132631475,2949566841,235071814,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
FLRY3,INDUSTRY,8291182000,1221148000,2121459000,596671000,1939905000,312200000,1627705000,12742083000,780393000,855434000,4415009000,5271443000,3109052000,5096268000,543624980,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
HYPE3,INDUSTRY,7699157000,1764276000,2081499000,1190132000,2222615000,171400000,2051215000,23440416000,1003913000,1641604000,7669859000,9311463000,7665922000,12524374000,703992255,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
KLBN11,INDUSTRY,20697507000,4480349000,9470786000,1678211000,6380278000,1745900000,4634378000,57093456000,1723779000,5571804000,31149238000,36721042000,25829657000,14401101000,1214936096,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
RADL3,INDUSTRY,44250449000,2743567000,4827625000,1300243000,2327677000,1300000000,1027677000,16993716000,456739000,1028498000,2839257000,3867755000,3339016000,7335968000,1748536237,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
RAIL3,INDUSTRY,13847776000,4579664000,6792995000,865125000,2950534000,1905064000,1045470000,33261477000,840698000,3413133000,19710704000,23123837000,16105705000,14048438000,1855685680,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
RENT3,INDUSTRY,41781588000,7811656000,13753405000,1870470000,5985284000,4145500000,1839784000,63278521000,2047000000,5673167000,37922171000,43595338000,33002533000,25539012000,1054944417,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
SUZB3,INDUSTRY,50115679000,10649009000,22048193000,13437687000,15041857000,1551000000,13490857000,111781665000,5174921000,6533258000,88268000000,94801257000,69688730000,43952173000,1236045522,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_POSITIVE
VAMO3,INDUSTRY,5755712000,2611950000,3649781000,328702000,1021928000,1940000000,-918072000,25478126000,4718008000,3498133000,13192081000,16690214000,11972206000,2562076000,1221826865,B3_MARKET_DATA,READY_TO_CALCULATE,FCF_NEGATIVE_EXPECTED(EQUIPMENT_LEASING)
