ticker,sector,subsector,period_end,source_quality,quality_flags,status,would_calculate,method_used,fair_value,market_price,upside_pct,confidence,block_reason,write_prevented
AZZA3,retail,fashion,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,29.63,20.72,43.0,0.90,,True
EGIE3,utility,generation,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,3.21,32.31,-90.1,0.90,,True
FLRY3,industry,healthcare,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,34.20,15.69,118.0,0.90,,True
HYPE3,industry,pharma,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,27.96,22.56,23.9,0.90,,True
KLBN11,industry,pulp,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,29.60,16.46,79.8,0.90,,True
LREN3,retail,fashion,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,25.68,15.07,70.4,0.90,,True
MGLU3,retail,electronics,2025-12-31,CVM_LIVE,FCF_REVIEW,VALUATION_READY,True,EV_EBITDA,23.12,6.63,248.7,0.77,,True
PCAR3,retail,food,2025-12-31,CVM_LIVE,DISTRESSED,PARTIAL_INPUTS/DISTRESSED,True,EV_EBITDA,9.76,2.08,369.2,0.77,,True
PRIO3,commodity,oil_gas,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,4.82,68.40,-93.0,0.90,,True
RADL3,industry,pharmacy,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,5.93,18.19,-67.4,0.90,,True
RAIL3,industry,logistics,2025-12-31,CVM_LIVE,,VALUATION_READY,True,EV_EBITDA,24.27,14.21,70.8,0.77,,True
RECV3,commodity,oil_gas,2025-12-31,CVM_LIVE,FCF_NEGATIVE_EXPECTED,VALUATION_READY,True,EV_EBITDA,21.94,12.31,78.2,0.77,,True
RENT3,industry,rental,2025-12-31,CVM_LIVE,,VALUATION_READY,True,EV_EBITDA,99.09,43.35,128.6,0.77,,True
SBSP3,utility,sanitation,2025-12-31,CVM_LIVE,FCF_NEGATIVE_EXPECTED,VALUATION_READY,True,EV_EBITDA,32.20,28.46,13.1,0.77,,True
SUZB3,industry,pulp,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,89.15,41.70,113.8,0.90,,True
TAEE11,utility,transmission,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,48.81,38.73,26.0,0.90,,True
VAMO3,industry,rental,2025-12-31,CVM_LIVE,FCF_NEGATIVE_EXPECTED,VALUATION_READY,True,EV_EBITDA,20.07,3.25,517.5,0.77,,True
VIVA3,retail,jewelry,2025-12-31,CVM_LIVE,,VALUATION_READY,True,DCF_FCFF,18.88,22.19,-14.9,0.90,,True
