ticker,sector,method,multiple,ebitda_bn,net_debt_bn,shares_mn,market_price,preliminary_fv,upside_pct,nd_ebitda,current_ev_ebitda,input_quality,confidence,sanity_check_passed,block_reason,flags
PRIO3,oil_gas,EV_EBITDA_5.5x,5.5,7.67,25.04,804.3,68.32,21.28,-68.8%,3.27,10.4,FULL,LOW,False,,elevated_leverage_nd_ebitda=3.3x
RECV3,oil_gas,EV_EBITDA_5.5x,5.5,1.76,1.48,293.0,12.10,27.93,+130.8%,0.84,2.9,PARTIAL,MEDIUM,False,,FCF_NEGATIVE_EXPECTED|fcf_confirmed_negative=-0.13B
EGIE3,utilities,EV_EBITDA_9.0x,9.0,7.66,25.30,1142.3,31.90,38.21,+19.8%,3.30,8.9,FULL,LOW,True,,elevated_leverage_nd_ebitda=3.3x
SBSP3,utilities,EV_EBITDA_9.0x,9.0,14.81,27.77,3506.7,28.65,30.09,+5.0%,1.88,9.0,PARTIAL,MEDIUM,False,,FCF_NEGATIVE_EXPECTED|fcf_confirmed_negative=-5.38B
TAEE11,utilities,EV_EBITDA_9.0x,9.0,2.80,10.23,344.5,38.15,43.43,+13.8%,3.65,8.3,FULL,LOW,False,,unit_shares_validation_required|elevated_leverage_nd_ebitda=3.7x
AZZA3,retail,EV_EBITDA_7.0x,7.0,1.84,2.15,202.0,19.14,52.99,+176.8%,1.17,4.3,FULL,HIGH,False,,
LREN3,retail,EV_EBITDA_7.0x,7.0,3.09,-1.52,976.3,13.47,23.70,+76.0%,-0.49,4.0,FULL,HIGH,True,,net_cash_position
MGLU3,retail,EV_EBITDA_4.0x,4.0,3.20,2.91,774.9,6.48,12.78,+97.3%,0.91,2.5,DISTRESSED,LOW,False,,DISTRESSED_DCF_BLOCKED|FCF_ANOMALY_RATIO=4.8x_EBITDA
PCAR3,retail,EV_EBITDA_3.5x,3.5,0.98,2.09,494.5,2.22,2.74,+23.5%,2.13,3.3,DISTRESSED,LOW,False,,DISTRESSED_DCF_BLOCKED|LOW_CONFIDENCE_DISTRESSED
VIVA3,retail,EV_EBITDA_9.0x,9.0,0.89,0.13,235.1,22.47,33.48,+49.0%,0.15,6.1,FULL,HIGH,True,,
FLRY3,healthcare,EV_EBITDA_11.0x,11.0,2.12,3.11,543.6,15.49,37.21,+140.2%,1.47,7.1,FULL,HIGH,False,,
HYPE3,healthcare,EV_EBITDA_11.0x,11.0,2.08,7.67,704.0,22.41,21.63,-3.5%,3.69,7.6,FULL,LOW,False,,very_high_leverage_nd_ebitda=3.7x
KLBN11,industrial,EV_EBITDA_6.5x,6.5,9.47,25.83,1214.9,16.23,29.41,+81.2%,2.73,4.8,FULL,MEDIUM,False,,unit_shares_validation_required|shares_ltm_vfi_discrepancy_ratio=5.84x
RADL3,healthcare,EV_EBITDA_14.0x,14.0,4.83,3.34,1748.5,18.70,36.74,+96.5%,0.69,7.2,FULL,HIGH,True,,
RAIL3,industrial,EV_EBITDA_9.0x,9.0,6.79,16.11,1855.7,14.65,24.27,+65.6%,2.37,7.5,FULL,MEDIUM,True,,
RENT3,industrial,EV_EBITDA_8.0x,8.0,13.75,33.00,1095.5,41.99,70.31,+67.4%,2.40,5.7,FULL,MEDIUM,True,,
SUZB3,industrial,EV_EBITDA_7.5x,7.5,22.05,69.69,1236.0,41.81,77.40,+85.1%,3.16,6.1,FULL,LOW,True,,elevated_leverage_nd_ebitda=3.2x
VAMO3,industrial,EV_EBITDA_7.0x,7.0,3.65,11.97,1221.8,3.27,11.11,+239.8%,3.28,4.4,PARTIAL,MEDIUM,False,,FCF_NEGATIVE_EXPECTED|fcf_confirmed_negative=-0.92B
