ticker,cotahist_count,latest_price_date,latest_close,cotahist_company_name,traceability_count,trace_domains,ri_docs_count,ri_latest_date,ri_doc_types,data_file_manifest_count,manifest_latest,ai_entry,ai_company_name,ai_sector,ai_market_price,ai_fair_value,ai_valuation_available,ai_integrated_status,gaps,probable_root_cause
ABCB4,845,2026-05-22,28.12,ABC BRASIL,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",0,,{},145,2026-05-05T20:49:40,False,,,,,,,TRACE_NO_RI; MANIFEST_NO_RI; COTAHIST_NO_AI,CVM_CONNECTOR_NOT_EXECUTED; AI_ENTRY_NOT_CREATED
AERI3,845,2026-05-22,12.1,AERIS,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",0,,{},69,2026-05-05T15:35:25,False,,,,,,,TRACE_NO_RI; MANIFEST_NO_RI; COTAHIST_NO_AI,CVM_CONNECTOR_NOT_EXECUTED; AI_ENTRY_NOT_CREATED
AESB3,461,2024-10-31,12.69,AES BRASIL,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",0,,{},104,2026-05-05T19:42:05,False,,,,,,,TRACE_NO_RI; MANIFEST_NO_RI; COTAHIST_NO_AI,CVM_CONNECTOR_NOT_EXECUTED; AI_ENTRY_NOT_CREATED
ALUP11,845,2026-05-22,36.81,ALUPAR,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",0,,{},81,2026-05-05T15:30:46,False,,,,,,,TRACE_NO_RI; MANIFEST_NO_RI; COTAHIST_NO_AI,BDR_UNSUPPORTED; AI_ENTRY_NOT_CREATED
AMAR3,845,2026-05-22,4.14,LOJAS MARISA,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",0,,{},84,2026-05-05T16:01:10,False,,,,,,,TRACE_NO_RI; MANIFEST_NO_RI; COTAHIST_NO_AI,CVM_CONNECTOR_NOT_EXECUTED; AI_ENTRY_NOT_CREATED
ASAI3,845,2026-05-22,21.11,ASSAI,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",0,,{},75,2026-05-05T15:53:24,False,,,,,,,TRACE_NO_RI; MANIFEST_NO_RI; COTAHIST_NO_AI,CVM_CONNECTOR_NOT_EXECUTED; AI_ENTRY_NOT_CREATED
AUAU3,95,2026-05-22,3.9,PETZCOBASI,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",0,,{},81,2026-05-05T15:59:44,False,,,,,,,TRACE_NO_RI; MANIFEST_NO_RI; COTAHIST_NO_AI,CVM_CONNECTOR_NOT_EXECUTED; AI_ENTRY_NOT_CREATED
AZZA3,450,2026-05-22,55.16,AZZAS 2154,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",0,,{},78,2026-05-05T16:00:26,False,,,,,,,TRACE_NO_RI; MANIFEST_NO_RI; COTAHIST_NO_AI,CVM_CONNECTOR_NOT_EXECUTED; AI_ENTRY_NOT_CREATED
BBAS3,845,2026-05-22,59.6,BRASIL,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",121,2121-07-07,"{""COMUNICADO_CVM"": 70, ""FATO_RELEVANTE"": 43, ""RELEASE_RESULTADO"": 8}",249,2026-05-11T18:05:19,True,,,,64.84,1,APENAS_MONITORAR_SOFT_COVERAGE,RI_NO_SECTOR; AI_MISSING_METADATA,AI_METADATA_NOT_POPULATED; AI_METADATA_NOT_POPULATED
BBDC4,845,2026-05-22,21.76,BRADESCO,2,"{""REGULATORY"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:36""}, ""VALUATION"": {""cnt"": 1, ""last"": ""2026-05-12T12:27:37""}}",125,2026-12-31,"{""COMUNICADO_CVM"": 84, ""FATO_RELEVANTE"": 31, ""RELEASE_RESULTADO"": 10}",314,2026-05-11T18:03:15,True,,,,,1,APENAS_MONITORAR_SOFT_COVERAGE,RI_NO_SECTOR; AI_MISSING_METADATA,AI_METADATA_NOT_POPULATED; AI_METADATA_NOT_POPULATED
